A,B,C,D,E
PZA,NAPOLI,19,5131,6
PZA,OBERDAN GUGLIELMO,2,2108,1
PZA,PO',10,6234,7
PZA,PREALPI,3,7300,8
PZA,RISORGIMENTO,5,3117,3
PZA,SANTA FRANCESCA ROMANA,1,2183,3
PZA,SANT' ALESSANDRO,3,530,1
PZA,SANTA MARIA BELTRADE,1,514,1
PZA,SANT' EUFEMIA,1,406,1
PZA,SANT' EUSTORGIO,4,5186,1
PZA,SEI FEBBRAIO,16,6358,8
PZA,SEMPIONE,5,7111,1
PZA,TIRANA,12,5378,6
PZA,VELASCA,4,335,1
PZA,VENTICINQUE APRILE,7,1064,9
PZA,VENTIQUATTRO MAGGIO,10,5200,5
PZA,VENTIQUATTRO MAGGIO,10,5200,5
PZA,VENTIQUATTRO MAGGIO,8,5200,5
PZA,VENTIQUATTRO MAGGIO,8,5200,5
PZA,VESUVIO,14,6110,7
PZA,VIGILI DEL FUOCO,7,2710,3
RIP,DI PTA TICINESE,17,5150,6
RIP,DI PTA TICINESE,27,5150,6
RIP,DI PTA TICINESE,37,5150,6
RIP,DI PTA TICINESE,49,5150,6
RIP,DI PTA TICINESE,53,5150,6
RIP,DI PTA TICINESE,61,5150,6
RIP,DI PTA TICINESE,79,5150,6
RIP,DI PTA TICINESE,79,5150,6
RIP,DI PTA TICINESE,9,5150,6
VIA,ABBAZIA,4,1310,2
VIA,ADIGE,17,4216,5
VIA,ADIGE,23,4216,5
VIA,ADRIANO PUBLIO ELIO,110,2410,2
VIA,ADRIANO PUBLIO ELIO,94,2410,2
VIA,AGNELLO,17,209,1
VIA,AGNELLO,19,209,1
VIA,AGNELLO,8,209,1
VIA,AGNELLO,8,209,1
VIA,AGORDAT,25,2362,2
VIA,AJACCIO,15,3246,3
VIA,AJACCIO,9,3246,3
VIA,ALBANI FRANCESCO,71,6399,8
VIA,ALBERTI LEON BATTISTA,10,7167,8
VIA,ALBERTINELLI MARIOTTO,9,6561,7
VIA,ALBRICCI ALBERICO,2,337,1
VIA,ALEARDI ALEARDO,2,7209,8
VIA,ALSERIO,19,1153,9
VIA,ALSERIO,22,1153,9
VIA,ALSERIO,3,1153,9
VIA,ALSERIO,3,1153,9
VIA,ALSERIO,9,1153,9
VIA,AMEDEO D'AOSTA,3,2095,3
VIA,AMORETTI CARLO,94,7340,9
VIA,AMPERE ANDREA MARIA,123,2428,3
VIA,ANDREOLI DON GIUSEPPE,20,1467,9
VIA,ANDREOLI DON GIUSEPPE,23,1467,9
VIA,ANDREOLI DON GIUSEPPE,27,1467,9
VIA,ANFOSSI AUGUSTO,2,3071,4
VIA,ANFOSSI AUGUSTO,5,3071,4
VIA,ANGELO DELLA PERGOLA,7,1137,9
VIA,ANGUISSOLA SOFONISBA,31,6609,7
VIA,ANSELMO DA BAGGIO,63,6782,7
VIA,APPIANI ANDREA,11,1050,1
VIA,APPIANI ANDREA,15,1050,1
VIA,ARBE,47,1352,2
VIA,ARCO,1,714,1
VIA,ARCONATI COSTANZA,9,3211,4
VIA,ARESE FRANCESCO,20,1186,9
VIA,ARIBERTO DA INTIMIANO,17,5092,1
VIA,ARIBERTO DA INTIMIANO,3,5092,1
VIA,ARIMONDI GIUSEPPE,11,7179,8
VIA,ARNALDO DA BRESCIA,3,1151,9
VIA,ARSIA,7,7472,8
VIA,ASIAGO,59,2459,2
VIA,ASIAGO,59,2459,2
VIA,ASIAGO,68,2459,2
VIA,ASTESANI ALESSANDRO,29,1558,9
VIA,ASTESANI ALESSANDRO,2,1558,9
VIA,ASTESANI ALESSANDRO,41,1558,9
VIA,BAGAROTTI MAFFEO,40,6585,7
VIA,BANDELLO MATTEO,14,6214,1
VIA,BANFI ANTONIO,2,5404,1
VIA,BARACCHINI FLAVIO,9,356,1
VIA,BARONI COSTANTINO,11,5422,5
VIA,BARRILI  ANTON GIULIO,24,5324,5
VIA,BARTOLINI LORENZO,29,7178,8
VIA,BASSINI EDOARDO,47,2587,3
VIA,BASSINI EDOARDO,51,2587,3
VIA,BASSI UGO,30,1143,9
VIA,BAZZINI ANTONIO,2,2427,3
VIA,BAZZINI ANTONIO,34,2427,3
VIA,BEATO ANGELICO,25,3204,3
VIA,BELLEZZA GIOVANNI,12,4067,5
VIA,BENACO,26,4143,5
VIA,BENEFATTORI DELL'OSPEDALE,1,1522,9
VIA,BENGASI,7,2375,2
VIA,BERGAMO,3,3189,4
VIA,BERTANI AGOSTINO,16,7112,1
VIA,BERTANI AGOSTINO,2,7112,1
VIA,BERTANI AGOSTINO,2,7112,1
VIA,BERTINI GIOVANNI BATTISTA,2,7207,8
VIA,BERUTO CESARE,13,2586,3
VIA,BERUTO CESARE,13,2586,3
VIA,BESSARIONE,46,4152,4
VIA,BESSARIONE,5,4152,4
VIA,BINDA AMBROGIO,16,5298,6
VIA,BISCEGLIE,92,6707,6
VIA,BIXIO NINO,11,3133,3
VIA,BIXIO NINO,1,3133,3
VIA,BIZZONI ACHILLE,7,1359,2
VIA,BOBBIO,2,5107,6
VIA,BOCCACCIO GIOVANNI,11,6158,1
VIA,BOCCACCIO GIOVANNI,15,6158,1
VIA,BOCCACCIO GIOVANNI,4,6158,1
VIA,BOIARDO MATTEO MARIA,11,2323,2
VIA,BONCOMPAGNI CARLO,12,4182,4
VIA,BONCOMPAGNI CARLO,94,4182,4
VIA,BONFADINI ROMUALDO,116,3341,4
VIA,BONO CAIROLI ADELAIDE,22,2332,2
VIA,BONVESIN DE LA RIVA,9,3087,4
VIA,BORDIGHERA,15,5265,5
VIA,BORGOMAINERIO LUIGI,2,2685,3
VIA,BORSIERI PIETRO,22,1128,9
VIA,BORSIERI PIETRO,28,1128,9
VIA,BOSCOVICH RUGGERO,31,2131,2
