A,B,C,D,E
VIA,CASTEL MORRONE,7,3185,3
VIA,CASTELVETRO LODOVICO,20,7195,8
VIA,CAVEZZALI FRANCESCO,4,2335,2
VIA,CEFALONIA,14,7439,8
VIA,CENISIO,9,7184,8
VIA,CERESIO,4,7234,8
VIA,CERIANI ANTONIO,26,6774,7
VIA,CERVIGNANO,1,3218,4
VIA,CESARE DA SESTO,14,5101,1
VIA,CESARE DA SESTO,15,5101,1
VIA,CESARE DA SESTO,1,5101,1
VIA,CHIASSERINI DANTE,14,7332,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHOPIN FEDERICO,50,4297,5
VIA,CIALDINI ENRICO,107,1477,9
VIA,CIALDINI ENRICO,29,1477,9
VIA,CICERI VISCONTI LAURA,6,3220,4
VIA,CICOGNA MOZZONI CARLO,19,1676,9
VIA,CICOGNA MOZZONI CARLO,3,1676,9
VIA,CIMA CAMILLO E OTTO,27,2690,3
VLE,CONI ZUGNA,14,5110,7
VIA,CINQUE MAGGIO,11,7459,8
VIA,CIOVASSO,6,127,1
VIA,CIVITALI MATTEO,40,6569,7
VIA,CIVITALI MATTEO,7,6569,7
VIA,COLA DI RIENZO,28,6094,6
VIA,COLA DI RIENZO,44,6094,6
VIA,COLA MONTANO,40,1139,9
VIA,COLLECCHIO,2,6459,8
VIA,COLLETTA PIETRO,30,4078,4
VIA,COLOMBO GIUSEPPE,42,3201,3
VIA,COLONNA MARCO ANTONIO,14,7158,8
VIA,COMPAGNONI GIUSEPPE,33,3096,4
VIA,CONCILIO VATICANO II,3,7356,8
VIA,CORDUSIO,2,627,1
PZA,RISORGIMENTO,7,3117,3
VIA,CORNALIA EMILIO,2,1182,9
VIA,CORREGGIO,63,6287,7
VIA,CORRENTI CESARE,7,555,1
VIA,CORSICO,1,5157,6
VIA,CORTI ALFONSO,7,2678,3
VIA,CORTI ALFONSO,9,2678,3
VIA,COSSERIA,1,5197,5
VLE,STELVIO,66,1227,9
VIA,CREMA,4,4061,5
VIA,CRESCENZAGO,36,2396,3
VIA,CRESPI PIETRO,13,2296,2
VIA,CUMA,2,1307,9
VIA,CUSAGO,88,6785,7
VIA,CUSTODI PIETRO,14,5199,5
VIA,D'ADDA CARLO,1,5272,6
VIA,DANTE ALIGHIERI,15,612,1
VIA,DE AMICIS EDMONDO,12,574,1
VIA,DE AMICIS EDMONDO,33,574,1
VIA,DE AMICIS EDMONDO,9,574,1
VIA,DE CASTILLIA GAETANO,20,1123,9
VIA,DE CRISTOFORIS CARLO,2,1120,9
VIA,DEGLI ARCIMBOLDI,2,522,1
VIA,DEGLI IMBRIANI,17,1266,9
VIA,DEGLI IMBRIANI,27,1266,9
VIA,DEGLI IMBRIANI,30,1266,9
VIA,DEGLI IMBRIANI,31,1266,9
VIA,DEGLI ZUCCARO,11,5390,6
VIA,DEGLI ZUCCARO,5,5390,6
VIA,DEI BIANCOSPINI,1,6711,6
VIA,DEI CINQUECENTO,22,4283,4
VIA,DEI FONTANILI,55,4224,5
VIA,DEI GRACCHI,26,6271,7
VIA,DEI MARTINITT,3,6336,7
VIA,DEI PANIGAROLA,1,4284,4
VIA,DEI PANIGAROLA,2,4284,4
VIA,DEI PELLEGRINI,6,4028,1
VIA,DEI TRANSITI,1,2284,2
VIA,DEI TRANSITI,1,2284,2
VIA,DEI VALTORTA,2,2324,2
VIA,DELLA CHIESA ROSSA,73,5321,5
VIA,DELLA MOSCOVA,15,1016,1
VIA,DELLA MOSCOVA,29,1016,1
VIA,DELLA MOSCOVA,29,1016,1
VIA,DELLA MOSCOVA,47,1016,1
VIA,DELLA MOSCOVA,51,1016,1
VIA,DELL' ARCIVESCOVADO,1,309,1
VIA,DELLA SPIGA,33,226,1
VIA,DELLE BETULLE,30,6828,7
VIA,DELLE BETULLE,34,6828,7
VIA,DELLE FOPPETTE,2,5143,6
VIA,DELLE FORZE ARMATE,197,6643,7
VIA,DELLE FORZE ARMATE,230,6643,7
VIA,DELLE FORZE ARMATE,28,6643,7
VIA,DELLE FORZE ARMATE,326,6643,7
VIA,DELLE FORZE ARMATE,346,6643,7
VIA,DELLE FORZE ARMATE,41,6643,7
VIA,SALUTATI COLUCCIO,2,6197,7
VIA,SARDEGNA,20,6265,7
VIA,DELL' ORSO,3,123,1
VIA,DELL' UNIONE,6,521,1
VIA,DEL TORCHIO,8,556,1
VIA,DEL TURCHINO,13,3337,4
VIA,DEL TURCHINO,27,3337,4
VIA,DE MARCHI EMILIO,3,1418,2
VIA,DE MARCHI EMILIO,52,1418,2
VIA,DE MARCHI GHERINI AMBROGIO,2,2503,2
VIA,DEMONTE,3,1094,9
VIA,DE SANCTIS FRANCESCO,50,5322,5
VIA,DE SANCTIS FRANCESCO,74,5322,5
VIA,DOMENICHINO,2,6383,7
VIA,DONATELLO,32,2214,3
VIA,DONATELLO,5,2214,3
VIA,DON BOSCO,27,4144,4
VIA,DONIZETTI GAETANO,45,3030,1
VIA,DON RODRIGO,2,5416,5
VIA,DRUSO,10,3281,4
VIA,DURINI,2,313,1
VIA,ENNIO,15,4090,4
VIA,EUSTACHI BARTOLOMEO,15,2165,3
VIA,EUSTACHI BARTOLOMEO,20,2165,3
VIA,EUSTACHI BARTOLOMEO,21,2165,3
VIA,EUSTACHI BARTOLOMEO,40,2165,3
VIA,EUSTACHI BARTOLOMEO,8,2165,3
VIA,FAA' DI BRUNO EMILIO,14,4095,4
VIA,FAA' DI BRUNO EMILIO,5,4095,4
VIA,FACCHINETTI CIPRIANO,2,3365,4
VIA,FACCHINETTI CIPRIANO,2,3365,4
VIA,FARA GUSTAVO,29,1183,9
VIA,FARA GUSTAVO,33,1183,9
VIA,FARA GUSTAVO,5,1183,9
VIA,FARAVELLI LUIGI GIUSEPPE,8,7162,8
VIA,FARINI CARLO,42,1114,9
VIA,FARINI CARLO,48,1114,9
VIA,FARINI CARLO,4,1114,9
VIA,FARINI CARLO,69,1114,9
VIA,FARINI CARLO,71,1114,9
VIA,FARINI CARLO,73,1114,9
VIA,FATEBENEFRATELLI,15,144,1
VIA,FAUCHE' GIOVANNI BATTISTA,37,7192,8
VIA,FERRUCCI FRANCESCO,1,7150,8
VIA,FESTA DEL PERDONO,1,327,1
VIA,FIAMMA GALVANO,17,3079,4
VIA,FIAMMA GALVANO,20,3079,4
VIA,FIAMMA GALVANO,6,3079,4
VIA,FILZI FABIO,23,1190,2
VIA,FIORAVANTI ARISTIDE,28,7236,8
VIA,F.LLI ANTONA TRAVERSI,18,7354,8
VIA,F.LLI ANTONA TRAVERSI,20,7354,8
VIA,F.LLI BRESSAN,44,2349,2
VIA,F.LLI BRONZETTI,26,3089,4
VIA,F.LLI CAMPI,2,3060,1
VIA,F.LLI FRASCHINI,6,4355,5
VIA,F.LLI INDUNO,17,7217,8
VIA,F.LLI ROSSELLI,15,4181,4
VIA,F.LLI RUFFINI,9,6163,1
VIA,F.LLI ZANZOTTERA,12,6733,7
VIA,F.LLI ZOIA,54,6306,7
VIA,F.LLI ZOIA,95,6306,7
VIA,FLUMENDOSA,10,2522,2
VIA,FLUMENDOSA,34,2522,2
VIA,FONTANA,1,3058,1
VIA,FONTANA,3,3058,1
VIA,FONTANA,8,3058,1
VIA,FORLANINI CARLO,20,3171,3
VIA,FORLANINI CARLO,5,3171,3
VIA,FORNARI PASQUALE,50,6592,7
VIA,FOSCOLO UGO,5,205,1
VIA,FRA' CRISTOFORO,1,5413,5
VIA,FRA' GALGARIO,2,6607,7
VIA,FREGUGLIA CARLO,4,3014,1
VIA,FREIKOFEL,15,4367,4
VIA,FRISI PAOLO,11,2190,3
VIA,FRIULI,2,3199,4
VIA,FRIULI,46,3199,4
VIA,GALLARATE,389,7420,8
VLE,CERTOSA,41,7174,8
VIA,GALVANI LUIGI,15,1179,9
VIA,GARIGLIANO,12,1134,9
VIA,GAROFALO,21,2194,3
VIA,GENTILINO,15,5204,5
VIA,GIAMBELLINO,144,5136,6
VIA,GIAMBELLINO,57,5136,6
VIA,GIAMBELLINO,58,5136,6
VIA,GIAMBELLINO,5,5136,6
VIA,GIAMBELLINO,64,5136,6
VIA,GIAMBELLINO,80,5136,6
VIA,GIAMPIETRINO,21,7333,9
VIA,GIOIA MELCHIORRE,133,1108,2
VIA,GIOIA MELCHIORRE,53,1108,2
VIA,GIOVANNI DA MILANO,17,3253,3
VIA,GIUSTI GIUSEPPE,14,7127,1
VIA,GIUSTI GIUSEPPE,41,7127,1
VIA,GLUCK CRISTOFORO,5,1215,2
VIA,GOLA EMILIO,31,5154,6
VIA,GOLDONI CARLO,77,3183,3
VIA,GOLFO DEGLI ARANCI,12,2463,2
VIA,GOLFO DEGLI ARANCI,22,2463,2
VIA,GOVONE GIUSEPPE,35,7222,8
VIA,GOZZOLI BENOZZO,130,6789,7
VIA,GRAN SAN BERNARDO,6,7218,8
VIA,GRATOSOGLIO,60,5411,5
VIA,GRAZIANO IMPERATORE,41,1524,9
VIA,GRAZIOLI DON BARTOLOMEO,10,1473,9
VIA,GROSOTTO,1,7328,8
VIA,GUASCONA,60,6726,7
VIA,GUINTELLINO GUGLIELMO,25,5369,6
VIA,GULLI TOMMASO,54,6634,7
VIA,HAYEZ FRANCESCO,14,2172,3
VIA,HOEPLI ULRICO,3,190,1
VIA,IGLESIAS,43,2458,2
VIA,IMBONATI CARLO,27,1311,9
VIA,IMBONATI CARLO,51,1311,9
VIA,IMBONATI CARLO,74,1311,9
VIA,INAMA VIRGILIO,18,3169,3
VIA,INGANNI ANGELO,103,6672,6
VIA,INGANNI ANGELO,3,6672,6
VIA,INGANNI ANGELO,48,6672,6
VIA,INGANNI ANGELO,77,6672,6
VIA,JACOPINO DA TRADATE,13,7292,8
VIA,JARACH FEDERICO,7,2589,2
VIA,KRAMER ANTONIO,23,3180,3
VIA,LAMARMORA ALFONSO,19,4103,1
VIA,LAMBRO,11,2186,3
VIA,LAMBRUSCHINI RAFFAELE,29,7271,9
VIA,LAMPEDUSA,13,5329,5
VIA,LANINO BERNARDINO,2,6105,6
VIA,LARGA,31,318,1
VIA,LECCO,10,2110,3
VIA,LECCO,22,2110,3
VIA,LECCO,4,2110,3
VIA,LECCO,6,2110,3
VIA,LESSONA MICHELE,48,7490,8
VIA,LIPPI FILIPPINO,2,2196,3
VIA,LITTA MODIGNANI ALESSANDRO,5,1539,9
VIA,LITTA MODIGNANI ALESSANDRO,97,1539,9
VIA,LIVIGNO,26,1296,9
VIA,USSI STEFANO,1,1437,9
VIA,LOCATELLI ANTONIO,1,1191,2
VIA,LODOVICO IL MORO,185,5290,6
VIA,LOMAZZO PAOLO,2,7079,1
VIA,LOMAZZO PAOLO,39,7079,8
VIA,LOMAZZO PAOLO,65,7079,8
VIA,LOMBROSO CESARE,20,3334,4
VIA,LOMBROSO CESARE,32,3334,4
VIA,LOMBROSO CESARE,54,3334,4
VLE,CERTOSA,63,7174,8
VIA,LOPEZ SABATINO,3,7369,8
VIA,LORENTEGGIO,22,5132,6
VIA,LORENTEGGIO,35,5132,6
VIA,LORENTEGGIO,3,5132,6
VIA,LORENTEGGIO,5,5132,6
VIA,LOSANNA,29,7190,8
VIA,MACCHI MAURO,26,2133,2
VIA,MAC MAHON,104,7221,8
VIA,MAC MAHON,107,7221,8
VIA,MAC MAHON,20,7221,8
VIA,MAC MAHON,87,7221,8
VIA,MADDALENA,1,401,1
VIA,MADONNINA,27,134,1
VIA,MAESTRI PIETRO,1,3049,1
VIA,MAGGI CARLO MARIA,6,7115,1
VIA,MAIOCCHI ACHILLE,3,2162,3
VIA,MAMELI GOFFREDO,8,3088,4
VIA,MANGIAGALLI LUIGI,2,3202,3
VIA,MANTEGAZZA PAOLO,38,7275,8
VIA,MANUZIO ALDO,6,2114,2
VIA,MANZONI ALESSANDRO,12,230,1
VIA,MARCELLO BENEDETTO,93,2128,3
VIA,MARCO AURELIO,44,2298,2
VIA,MARCO AURELIO,50,2298,2
VIA,MARCO D'AGRATE,23,4276,5
VIA,MARCO D'AGRATE,25,4276,5
VIA,MARCONA,34,3080,4
VIA,MARCONA,77,3080,4
VIA,MARCONA,90,3080,4
VIA,MARCO POLO,6,1103,9
VIA,MARESCALCHI FERDINANDO,1,3315,3
VIA,MARGHERA,16,6280,7
VIA,MARGHERA,29,6280,7
VIA,MAR NERO,6,6415,7
VIA,MAROCCO PIETRO,17,2265,2
VIA,MAROCHETTI CARLO,3,4185,4
VIA,MARONCELLI PIETRO,1,1113,9
VIA,MAROSTICA,29,6591,7
VIA,MAROSTICA,44,6591,7
VIA,MARTINETTI PIERO,21,6339,7
VIA,MASCHERONI LORENZO,22,6183,1
VIA,MASOLINO DA PANICALE,2,7264,8
VIA,MASOTTO UMBERTO,1,3283,4
VIA,MATTEUCCI CARLO,4,2167,3
VIA,MAZZINI GIUSEPPE,15,516,1
VIA,MAZZOLARI DON PRIMO,29,5457,6
VIA,MECENATE,12,3323,4
VIA,MECENATE,30,3323,4
VIA,MECENATE,38,3323,4
VIA,MECENATE,5,3323,4
VIA,MECENATE,99,3323,4
VIA,MEDA GIUSEPPE,29,5242,5
VIA,MEDA GIUSEPPE,43,5242,5
VIA,MEDA GIUSEPPE,53,5242,5
VIA,MEDEGHINO,15,5335,5
VIA,MEDEGHINO,34,5335,5
VIA,MEDEGHINO,4,5335,5
VIA,MELLERIO GIACOMO,5,6152,1
VIA,MELLONI MACEDONIO,19,3085,4
VIA,MELORIA,24,6424,8
VIA,MELZO,22,2184,3
VIA,MELZO,28,2184,3
VIA,MELZO,3,2184,3
VIA,MENOTTI CIRO,18,3184,3
VIA,MERAVIGLI,13,614,1
VIA,MERAVIGLI,16,614,1
VIA,MERAVIGLI,2,614,1
VIA,MERCATO,24,717,1
VIA,MERLO CARLO GIUSEPPE,1,329,1
VIA,MESSINA,16,7211,8
VIA,MEUCCI ANTONIO,23,2497,2
VIA,MEUCCI ANTONIO,39,2497,2
VIA,MODENA GUSTAVO,26,3122,3
VIA,MODENA GUSTAVO,30,3122,3
VIA,MOLA PIER FRANCESCO,39,7391,8
VIA,MOMPIANI GIACINTO,10,4285,4
VIA,MONDOVI',6,2515,2
VIA,MONTEBELLO,14,1037,1
VIA,MONTEBELLO,7,1037,1
VIA,MONTECASSINO,9,3346,4
VIA,MONTE CIMONE,1,3333,4
VIA,MONTEGANI LODOVICO,21,5330,5
VIA,MONTEGANI LODOVICO,22,5330,5
VIA,MONTEGANI LODOVICO,64,5330,5
VIA,MONTEGANI LODOVICO,8,5330,5
VIA,MONTE GENEROSO,53,7180,8
VIA,MONTE NAPOLEONE,8,219,1
VIA,MONTE POPERA,4,4365,4
VIA,MONTE SAN GENESIO,24,1299,9
VIA,MONTEVIDEO,3,6091,6
VIA,MONTI PADRE PIER LUIGI,18,1530,9
VIA,GHERARDINI GIOVANNI,2,7140,1
VIA,MORA GIAN GIACOMO,4,594,1
VIA,MORAZZONE,8,7131,1
VIA,MORELLI GIOVANNI,4,2166,1
VIA,MORGAGNI GIOVANNI BATTISTA,2,2158,3
VIA,MORGAGNI GIOVANNI BATTISTA,2,2158,3
VIA,MORGANTINI MARIO,25,6568,7
VIA,MORONE GEROLAMO,6,200,1
VIA,MOROSINI EMILIO,23,3073,4
VIA,MOSCA ANTONIO,181,6788,7
VIA,CONSTANT BENJAMIN,10,6083,7
VIA,MURAT GIOACCHINO,69,1316,9
VIA,MURAT GIOACCHINO,72,1316,9
VIA,MURATORI LODOVICO,10,4076,4
VIA,MURATORI LODOVICO,11,4076,4
VIA,MUSSI GIUSEPPE,13,7199,8
VIA,MUZIO ATTENDOLO DETTO SFORZA,4,4319,5
VIA,NAVA FRANCESCO,18,1319,9
VIA,NEERA ANNA,15,5326,5
VIA,NEERA ANNA,22,5326,5
VIA,NEGRI GAETANO,8,623,1
VIA,NICCOLINI GIOVANNI BATTISTA,20,7129,1
VIA,NIEVO IPPOLITO,1,6354,8
VIA,NIRONE,19,640,1
VIA,NIRONE,5,640,1
VIA,NOE ENRICO,4,2211,3
VIA,NOTO,10,4291,5
VIA,NOVARA,139,6624,7
VIA,NOVARA,15,6624,7
VIA,NOVARA,216,6624,7
VIA,NOVARA,8,6624,7
VIA,NOVARA,97,6624,7
VIA,NOVATI FRANCESCO,4,550,1
VIA,ODAZIO EMANUELE,8,5383,6
VIA,OGLIO,3,4105,4
VIA,OLGETTINA,60,2530,3
VIA,OLTROCCHI BALDASSARE,11,3217,4
VIA,OMBONI GIOVANNI,4,2151,3
VIA,ORNATO LUIGI,44,1591,9
VIA,ORSEOLO PIETRO,7,5113,6
VIA,ORTICA,3,3242,3
VIA,ORTI,12,4031,1
VIA,ORTI,24,4031,1
VIA,OSIMO AUGUSTO,1,4303,4
VIA,OSOPPO,5,6596,7
VIA,OVADA,22,5352,6
VIA,OXILIA NINO,26,2287,2
VIA,OZANAM FEDERICO,15,2143,3
VIA,PACINI GIOVANNI,17,2571,3
VIA,PACINI GIOVANNI,59,2571,3
VIA,PADOVA,167,2275,2
VIA,PADOVA,26,2275,2
VIA,PADOVA,288,2275,2
VIA,PADOVA,94,2275,2
VIA,PAISIELLO GIOVANNI,2,2245,3
VIA,PALANZONE,32,1600,9
VIA,PALAZZI LAZZARO,10,2171,3
VIA,PALAZZI LAZZARO,4,2171,3
VIA,PALEOCAPA PIETRO,1,706,1
VIA,PALLADIO ANDREA,2,4213,5
VIA,PALMA JACOPO,15,6605,7
VIA,PALMANOVA,127,2390,2
VIA,PALMANOVA,59,2390,2
VIA,SAMMARTINI GIOVANNI BATTISTA,15,1202,2
VIA,PANTANO,2,334,1
VIA,PAOLO DA CANNOBIO,9,338,1
VIA,PAPI LAZZARO,22,4071,4
VIA,PAPI LAZZARO,6,4071,4
VIA,PARUTA PAOLO,29,2363,2
VIA,PASSARELLA,4,298,1
VIA,PASTEUR LUIGI,25,2283,2
VIA,PASTEUR LUIGI,2,2283,2
VIA,PASTRENGO,2,1127,9
VIA,PAULUCCI DI CALBOLI FULCIERI,4,1590,9
VIA,PAVIA,3,5262,5
VIA,PAVONI LODOVICO,1,1401,9
VIA,PECCHIO GIUSEPPE,8,2240,3
VIA,PELLIZZONE ANDREA,14,3314,3
VIA,PETITTI CARLO ILARIONE,11,7161,8
VIA,PETROCCHI POLICARPO,48,2320,2
VIA,PEZZOTTI GIOVANNI,52,5244,5
VIA,PEZZOTTI GIOVANNI,55,5244,5
VIA,PEZZOTTI GIOVANNI,59,5244,5
VIA,PIANELL SALVATORE,45,1426,9
VIA,PIANELL SALVATORE,54,1426,9
VIA,PICCINNI NICOLA,3,2236,3
VIA,PIERO DELLA FRANCESCA,54,7188,8
VIA,PIERO DELLA FRANCESCA,54,7188,8
VIA,PIERO DELLA FRANCESCA,68,7188,8
VIA,PILO ROSOLINO,6,2189,3
VIA,PINTURICCHIO,11,2195,3
VIA,PINTURICCHIO,21,2195,3
VIA,PIOPPETTE,8,536,1
VIA,PIRANESI GIOVANNI BATTISTA,14,3263,4
VIA,PIRANESI GIOVANNI BATTISTA,22,3263,4
VIA,PIRANESI GIOVANNI BATTISTA,26,3263,4
VIA,PIRANO,4,2483,2
VIA,PISACANE CARLO,47,2188,3
VIA,PISANI VITTOR,12,1201,2
VIA,PISANI VITTOR,26,1201,2
VIA,PISANI VITTOR,31,1201,2
VIA,PISANI VITTOR,9,1201,2
VIA,PISTOIA,19,6773,7
VIA,PISTRUCCI SCIPIONE,12,3215,4
VIA,PLANA GIOVANNI ANTONIO,43,7177,8
VIA,PLINIO CAIO SECONDO,18,2144,3
VIA,PLINIO CAIO SECONDO,24,2144,3
VIA,PLINIO CAIO SECONDO,39,2144,3
VIA,PLINIO CAIO SECONDO,5,2144,3
VIA,PLINIO CAIO SECONDO,6,2144,3
VIA,PODGORA,14,3055,1
VIA,POGGIBONSI,14,6601,7
VIA,POGGI FELICE,2,2430,3
VIA,POLIZIANO,16,7196,8
VIA,POMPONAZZI PIETRO,6,5246,5
VIA,PONTE NUOVO,48,2494,2
VIA,PONTE SEVESO,19,1203,2
VIA,PONTE SEVESO,23,1203,2
VIA,PONTE SEVESO,33,1203,2
VIA,PONTE SEVESO,41,1203,2
VIA,PONTE SEVESO,42,1203,2
VIA,PONTI ANDREA,1,5293,6
VIA,PONTI ANDREA,1,5293,6
VIA,PONTI DELLA PRIULA,2,4170,4
VIA,PONZIO GIUSEPPE,82,2585,3
VIA,POPULONIA,6,1315,9
VIA,PORDENONE,28,2650,3
VIA,PORPORA NICOLA ANTONIO,5,2229,3
VIA,PORRO LAMBERTENGHI LUIGI,23,1142,9
VIA,PORTINARI PIGELLO,1,1408,2
VIA,POZZI ANTONIA,1,6329,8
VIA,PRESTINARI MARCELLO,6,1269,9
VIA,PREVIATI GAETANO,72,6384,7
VIA,PRIMATICCIO FRANCESCO,34,6646,6
VIA,PRINA GIUSEPPE,11,7135,8
VIA,PROCACCINI GIULIO CESARE,60,7204,8
VIA,PULCI LUIGI,19,1622,9
VIA,QUARANTA BERNARDO,3,4271,5
VIA,QUARANTA BERNARDO,42,4271,5
VIA,QUARENGHI GIACOMO,34,7478,8
VIA,QUINTO ROMANO,70,6333,7
VIA,RAVENNA,10,4281,4
VIA,RAVIZZA CARLO,1,6285,7
VIA,REDAELLI PIETRO,1,6820,6
VIA,REINA FRANCESCO,14,3255,4
VIA,REMBRANDT,20,6618,7
VIA,REMBRANDT,40,6618,7
VIA,REMBRANDT,49,6618,7
VIA,REMBRANDT,7,6618,7
VIA,RENZO E LUCIA,3,5412,5
VIA,RIPAMONTI GIUSEPPE,109,4066,5
VIA,RIPAMONTI GIUSEPPE,152,4066,5
VIA,RIPAMONTI GIUSEPPE,190,4066,5
VIA,RIPAMONTI GIUSEPPE,194,4066,5
VIA,RIPAMONTI GIUSEPPE,195,4066,5
VIA,RIPAMONTI GIUSEPPE,2,4066,5
VIA,RIPAMONTI GIUSEPPE,90,4066,5
VIA,QUARANTA BERNARDO,3,4271,5
VIA,RIVOLI,2,7080,1
VIA,ROGGIA SCAGNA,1,2299,2
VIA,ROGOREDO,115,4373,4
VIA,ROGOREDO,117,4373,4
VIA,ROMAGNOSI GIAN DOMENICO,4,119,1
VIA,ROMANO GIULIO,25,4057,5
VIA,ROMANO GIULIO,31,4057,5
VIA,ROMANO GIULIO,5,4057,5
VIA,ROMBON,23,2659,3
VIA,ROMBON,38,2659,3
VIA,ROMEO NICOLA,3,5479,5
VIA,RONCAGLIA,3,6122,6
VIA,RONCHI,1,2655,3
VIA,RONCHI,39,2655,3
VIA,RONTGEN GUGLIELMO CORRADO,6,4041,5
VIA,ROSALES GASPARE,1,1110,9
VIA,ROSELLINI IPPOLITO,8,1158,2
VIA,ROSMINI ANTONIO,11,7132,1
VIA,ROSSINI GIOACCHINO,1,3040,1
VIA,ROSSI PELLEGRINO,13,1510,9
VIA,ROSSI PELLEGRINO,57,1510,9
VIA,ROSSI PELLEGRINO,8,1510,9
VIA,ROVERETO,12,2300,2
VIA,RUSSO VINCENZO,8,2328,2
VIA,SACCO LUIGI,7,6275,7
VIA,SALO',1,4117,4
VIA,SAMMARTINI GIOVANNI BATTISTA,23,1202,2
VIA,SAN CLEMENTE,1,319,1
VIA,SAN DIONIGI,3,4290,4
VIA,SAN FAUSTINO,3,2681,3
VIA,SAN FAUSTINO,78,2681,3
VIA,SAN GLICERIO,14,1626,9
VIA,SAN GREGORIO,45,2123,2
VIA,SAN MARCO,20,1036,1
VIA,SAN MAURILIO,2,563,1
VIA,SAN PIETRO ALL'ORTO,7,213,1
VIA,SAN SENATORE,14,404,1
VIA,SANTA CECILIA,2,349,1
VIA,SANTA CROCE,2,5188,1
VIA,SANT' AGNESE,14,648,1
VIA,SANTAGOSTINO PAOLO,1,1594,9
VIA,SANTA MARIA ALLA PORTA,12,620,1
VIA,SANTA MARTA,15,562,1
VIA,SANTA VALERIA,5,641,1
VIA,SANT' ERLEMBALDO,1,2356,2
VIA,SANT' UGUZZONE,21,2448,2
VIA,SAN VINCENZO,15,5098,1
VIA,SAN VITTORE,13,647,1
VIA,SAN VITTORE,2,647,1
VIA,SANZIO RAFFAELLO,30,6283,7
VIA,SANZIO RAFFAELLO,4,6283,7
VIA,SANZIO RAFFAELLO,4,6283,7
VIA,SAPRI,83,7441,8
VIA,SARAGAT GIUSEPPE,6,2631,2
VIA,SARDEGNA,20,6265,7
VIA,SARFATTI ROBERTO,1,4202,5
VIA,SARPI FRA' PAOLO,38,7210,8
VIA,SARPI FRA' PAOLO,50,7210,8
VIA,SARPI FRA' PAOLO,63,7210,8
VIA,SARZANA,40,1334,9
VIA,SASSETTI FILIPPO,15,1157,9
VIA,SAULI SANT' ALESSANDRO,28,2273,2
VIA,SAVONA,1,5122,6
VIA,SAVONA,20,5122,6
VIA,SAVONA,20,5122,6
VIA,SAVONA,86,5122,6
VIA,SCALVINI GIOVITA,16,1265,9
VIA,SCALVINI GIOVITA,4,1265,9
VIA,SCARLATTI DOMENICO,19,2136,3
VIA,SCIALOIA VITTORIO,6,1086,9
VIA,SCRIVIA,1,4146,4
VIA,SEBENICO,14,1131,9
VIA,SEBENICO,5,1131,9
VIA,SECCHI ANGELO,2,2097,3
VIA,SELVANESCO,36,4350,5
VIA,SENATO,2,236,1
VIA,PONTI DELLA PRIULA,2,4170,4
VIA,SETTEMBRINI LUIGI,15,2127,2
VIA,SETTEMBRINI LUIGI,30,2127,3
VIA,SFORZA ASCANIO,11,5201,5
VIA,SFORZA ASCANIO,49,5201,5
VIA,SFORZA ASCANIO,63,5201,5
VIA,SFORZA ASCANIO,75,5201,5
VIA,SFORZA FRANCESCO,1,330,1
VIA,SFORZA FRANCESCO,47,330,1
VIA,SFORZA FRANCESCO,5,330,1
VIA,S. GIOV. SUL MURO,4,609,1
VIA,SIGNORELLI LUCA,1,7208,8
VIA,SILIO ITALICO,1,3193,4
VIA,SILVA GUGLIELMO,33,6400,8
VIA,SILVA GUGLIELMO,45,6400,8
VIA,SISMONDI GIANCARLO,44,3256,4
VIA,SODERINI LUIGI,55,6675,6
VIA,SOLARI ANDREA,12,5111,6
VIA,SOLARI ANDREA,19,5111,6
VIA,SOLARI ANDREA,26,5111,6
VIA,SOLARI ANDREA,34,5111,6
VIA,SOLARI ANDREA,4,5111,6
VIA,SOLFERINO,18,1028,1
VIA,SOLFERINO,32,1028,1
VIA,SOLFERINO,56,1028,1
VIA,SONNINO SIDNEY,2,7262,8
VIA,SOPERGA,22,2262,2
VIA,SOTTOCORNO PASQUALE,11,3152,4
VIA,SPARTACO,25,3186,4
VIA,SPARTACO,4,3186,4
VIA,SPEZIA,2,5268,6
VIA,SPONTINI GASPARE,6,2141,3
VIA,STENDHAL ENRICO,19,5135,6
VIA,STOPPANI ANTONIO,15,2163,3
VIA,SULMONA,23,4180,4
VIA,SULMONA,23,4180,4
VIA,TABACCHI ODOARDO,11,5223,5
VIA,TABACCHI ODOARDO,2,5223,5
VIA,TADINO ALESSANDRO,13,2109,3
VIA,TADINO ALESSANDRO,6,2109,3
VIA,TAGIURA,5,6125,6
VIA,TAGLIAMENTO,11,4147,4
VIA,TAGLIAMENTO,1,4147,4
VIA,TAGLIAMENTO,2,4147,4
VIA,TAJANI FILIPPO,1,3235,3
VIA,TARAMELLI TORQUATO,68,1164,2
VIA,TEODOSIO,102,2550,3
VIA,TEODOSIO,1,2550,3
VIA,TEODOSIO,46,2550,3
VIA,TERTULLIANO,35,4094,4
VIA,TEULIE' PIETRO,20,4040,5
VIA,THAON DI REVEL GENOVA,3,1172,9
VIA,TIEPOLO GIAN BATTISTA,1,3126,3
VIA,TIRABOSCHI GEROLAMO,15,4072,4
VIA,TIRABOSCHI GEROLAMO,4,4072,4
VIA,TITO LIVIO,20,4086,4
VIA,TITO LIVIO,21,4086,4
VIA,TIVOLI,2,712,1
